# loss accuracy val_loss val_accuracy
2.320982962846755981e-01 8.839764595031738281e-01 9.551519155502319336e-01 6.546639800071716309e-01
1.097112149000167847e-01 9.538187384605407715e-01 1.020316958427429199e+00 6.825070381164550781e-01
6.909991055727005005e-02 9.746198654174804688e-01 1.195466995239257812e+00 7.002466917037963867e-01
5.707646533846855164e-02 9.795271158218383789e-01 4.651890695095062256e-01 7.942316532135009766e-01
4.648547992110252380e-02 9.833403825759887695e-01 1.086199760437011719e+00 6.914356350898742676e-01
4.231611266732215881e-02 9.855439662933349609e-01 1.119740128517150879e+00 7.186325192451477051e-01
3.862545639276504517e-02 9.868410825729370117e-01 1.625838518142700195e+00 6.601268649101257324e-01
3.451737761497497559e-02 9.881069660186767578e-01 2.114244461059570312e+00 6.634750962257385254e-01
3.049045614898204803e-02 9.891228079795837402e-01 1.586613416671752930e+00 6.927279233932495117e-01
